FarmID,HouseID,Sample_Type,sampleID,Farm_House,diluation_1,diluation_3,diluation_4,CFU,Test,Date,Cycle
BB,H1,C,1,BBH1C1,2824,,,2.80E+05,5.4,11/9/12,1st cycle
BB,H1,C,2,BBH1C2,100,,,1.00E+04,4,11/9/12,1st cycle
BB,H1,C,3,BBH1C3,174,,,1.70E+04,4.2,11/9/12,1st cycle
BB,H1,C,4,BBH1C4,28,,,2.80E+03,3.4,11/9/12,1st cycle
BB,H1,C,5,BBH1C5,732,,,7.30E+04,4.9,11/9/12,1st cycle
BB,H1,C,6,BBH1C6,6,,,6.00E+02,2.8,11/9/12,1st cycle
BB,H1,C,7,BBH1C7,2016,,,2.00E+05,5.3,11/9/12,1st cycle
BB,H1,C,8,BBH1C8,36,,,3.60E+03,3.6,11/9/12,1st cycle
BB,H1,C,9,BBH1C9,148,,,1.50E+04,4.2,11/9/12,1st cycle
BB,H1,C,10,BBH1C10,0,,,0.00E+00,0,11/9/12,1st cycle
BB,H1,C,11,BBH1C11,302,,,3.00E+04,4.5,11/9/12,1st cycle
BB,H1,C,12,BBH1C12,21,,,2.10E+03,3.3,11/9/12,1st cycle
BB,H1,C,13,BBH1C13,688,,,6.80E+04,4.8,11/9/12,1st cycle
BB,H1,C,14,BBH1C14,294,,,2.90E+04,4.5,11/9/12,1st cycle
BB,H1,C,15,BBH1C15,148,,,1.50E+04,4.2,11/9/12,1st cycle
BB,H1,B,1,BBH1B1,0,,,0.00E+00,0,11/9/12,1st cycle
BB,H1,B,2,BBH1B2,0,,,0.00E+00,0,11/9/12,1st cycle
BB,H1,B,3,BBH1B3,0,,,0.00E+00,0,11/9/12,1st cycle
BB,H2,C,1,BBH2C1,402,,,4.00E+04,4.6,11/9/12,1st cycle
BB,H2,C,2,BBH2C2,27,,,2.70E+03,3.4,11/9/12,1st cycle
BB,H2,C,3,BBH2C3,7,,,7.00E+02,2.8,11/9/12,1st cycle
BB,H2,C,4,BBH2C4,596,,,5.90E+04,4.8,11/9/12,1st cycle
BB,H2,C,5,BBH2C5,35,,,3.50E+03,3.5,11/9/12,1st cycle
BB,H2,C,6,BBH2C6,370,,,3.70E+04,4.6,11/9/12,1st cycle
BB,H2,C,7,BBH2C7,53,,,5.30E+03,3.7,11/9/12,1st cycle
BB,H2,C,8,BBH2C8,170,,,1.70E+04,4.2,11/9/12,1st cycle
BB,H2,C,9,BBH2C9,1528,,,1.50E+05,5.2,11/9/12,1st cycle
BB,H2,C,10,BBH2C10,3,,,3.00E+02,2.5,11/9/12,1st cycle
BB,H2,C,11,BBH2C11,5048,,,5.00E+05,5.7,11/9/12,1st cycle
BB,H2,C,12,BBH2C12,235,,,2.30E+04,4.4,11/9/12,1st cycle
BB,H2,C,13,BBH2C13,6,,,6.00E+02,2.8,11/9/12,1st cycle
BB,H2,C,14,BBH2C14,1016,,,1.00E+05,5,11/9/12,1st cycle
BB,H2,C,15,BBH2C15,12,,,1.20E+03,3.1,11/9/12,1st cycle
BB,H2,B,1,BBH2B1,0,,,0.00E+00,0,11/9/12,1st cycle
BB,H2,B,2,BBH2B2,0,,,0.00E+00,0,11/9/12,1st cycle
BB,H2,B,3,BBH2B3,0,,,0.00E+00,0,11/9/12,1st cycle
BB,H3,C,1,BBH3C1,0,,,0.00E+00,0,11/9/12,1st cycle
BB,H3,C,2,BBH3C2,80,,,8.00E+03,3.9,11/9/12,1st cycle
BB,H3,C,3,BBH3C3,3,,,3.00E+02,2.5,11/9/12,1st cycle
BB,H3,C,4,BBH3C4,35,,,3.50E+03,3.5,11/9/12,1st cycle
BB,H3,C,5,BBH3C5,130,,,1.30E+04,4.1,11/9/12,1st cycle
BB,H3,C,6,BBH3C6,2,,,2.00E+02,2.3,11/9/12,1st cycle
BB,H3,C,7,BBH3C7,10,,,1.00E+03,3,11/9/12,1st cycle
BB,H3,C,8,BBH3C8,10,,,1.00E+03,3,11/9/12,1st cycle
BB,H3,C,9,BBH3C9,300,,,3.00E+04,4.5,11/9/12,1st cycle
BB,H3,C,10,BBH3C10,TNTC,,220,2.20E+06,6.3,11/9/12,1st cycle
BB,H3,C,11,BBH3C11,0,,,0.00E+00,0,11/9/12,1st cycle
BB,H3,C,12,BBH3C12,53,,,5.30E+03,3.7,11/9/12,1st cycle
BB,H3,C,13,BBH3C13,TNTC,,210,2.10E+06,6.3,11/9/12,1st cycle
BB,H3,C,14,BBH3C14,360,,,3.60E+04,4.6,11/9/12,1st cycle
BB,H3,C,15,BBH3C15,120,,,1.20E+04,4.1,11/9/12,1st cycle
BB,H3,B,1,BBH3B1,0,,,0.00E+00,0,11/9/12,1st cycle
BB,H3,B,2,BBH3B2,0,,,0.00E+00,0,11/9/12,1st cycle
BB,H3,B,3,BBH3B3,0,,,0.00E+00,0,11/9/12,1st cycle
BB,H4,C,1,BBH4C1,200,,,2.00E+04,4.3,11/9/12,1st cycle
BB,H4,C,2,BBH4C2,10,,,1.00E+03,3,11/9/12,1st cycle
BB,H4,C,3,BBH4C3,0,,,0.00E+00,0,11/9/12,1st cycle
BB,H4,C,4,BBH4C4,5,,,5.00E+02,2.7,11/9/12,1st cycle
BB,H4,C,5,BBH4C5,12,,,1.20E+03,3.1,11/9/12,1st cycle
BB,H4,C,6,BBH4C6,1200,,,1.20E+05,5.1,11/9/12,1st cycle
BB,H4,C,7,BBH4C7,240,,,2.40E+04,4.4,11/9/12,1st cycle
BB,H4,C,8,BBH4C8,45,,,4.50E+03,3.7,11/9/12,1st cycle
BB,H4,C,9,BBH4C9,TNTC,105,,1.10E+06,6,11/9/12,1st cycle
BB,H4,C,10,BBH4C10,0,,,0.00E+00,0,11/9/12,1st cycle
BB,H4,C,11,BBH4C11,1040,,,1.00E+05,5,11/9/12,1st cycle
BB,H4,C,12,BBH4C12,TNTC,25,,2.50E+05,5.4,11/9/12,1st cycle
BB,H4,C,13,BBH4C13,510,,,5.10E+04,4.7,11/9/12,1st cycle
BB,H4,C,14,BBH4C14,6,,,6.00E+02,2.8,11/9/12,1st cycle
BB,H4,C,15,BBH4C15,1600,,,1.60E+05,5.2,11/9/12,1st cycle
BB,H4,B,1,BBH4B1,0,,,0.00E+00,0,11/9/12,1st cycle
BB,H4,B,2,BBH4B2,0,,,0.00E+00,0,11/9/12,1st cycle
BB,H4,B,3,BBH4B3,0,,,0.00E+00,0,11/9/12,1st cycle
BB,H1,C,1,BBH1C1,,664,,6.60E+05,5.8,1/18/13,2nd cycle
BB,H1,C,2,BBH1C2,,55,,5.50E+04,4.7,1/18/13,2nd cycle
BB,H1,C,3,BBH1C3,280,,,2.80E+04,4.4,1/18/13,2nd cycle
